repeat,fold,outer_iter,n_test,best_candidate,inner_mean_micro_sf1,micro_sp,micro_sr,micro_sf1,micro_mp,micro_mr,micro_mf1,pearson,spearman,kendall
0,0,0,29,A,0.690069,0.732057,0.651064,0.689189,0.629921,0.601504,0.615385,0.707466,0.637584,0.512877
0,1,1,29,A,0.667715,0.887255,0.718254,0.793860,0.701493,0.789916,0.743083,0.686101,0.818086,0.669450
0,2,2,29,A,0.706315,0.681614,0.630705,0.655172,0.510791,0.731959,0.601695,0.636073,0.594659,0.452944
0,3,3,28,A,0.714156,0.587629,0.561576,0.574307,0.477477,0.595506,0.530000,0.558856,0.536060,0.414010
0,4,4,28,D,0.691943,0.810484,0.575931,0.673367,0.487013,0.543478,0.513699,0.271019,0.332737,0.241512
1,0,5,29,D,0.702474,0.676471,0.572614,0.620225,0.647619,0.747253,0.693878,0.768555,0.677137,0.553930
1,1,6,29,A,0.689494,0.730159,0.647887,0.686567,0.433962,0.690000,0.532819,0.582149,0.634141,0.469970
1,2,7,29,A,0.683571,0.764423,0.665272,0.711409,0.558140,0.672897,0.610169,0.525469,0.463608,0.355420
1,3,8,28,A,0.702914,0.733032,0.613636,0.668041,0.569343,0.577778,0.573529,0.578202,0.552959,0.403385
1,4,9,28,A,0.682707,0.852459,0.619048,0.717241,0.707143,0.692308,0.699647,0.727360,0.738643,0.611418
2,0,10,29,B,0.711679,0.689474,0.515748,0.590090,0.565217,0.444444,0.497608,0.249115,0.251634,0.198405
2,1,11,29,A,0.695976,0.755102,0.611570,0.675799,0.641026,0.625000,0.632911,0.658014,0.621839,0.501462
2,2,12,29,A,0.706191,0.735751,0.591667,0.655889,0.466019,0.578313,0.516129,0.732664,0.597597,0.502047
2,3,13,28,D,0.681251,0.751055,0.684615,0.716298,0.703297,0.800000,0.748538,0.655758,0.617081,0.477797
2,4,14,28,D,0.688253,0.715415,0.637324,0.674115,0.360947,0.635417,0.460377,0.428999,0.550988,0.411094
3,0,15,29,D,0.700982,0.750000,0.551020,0.635294,0.556701,0.586957,0.571429,0.734992,0.688792,0.565630
3,1,16,29,A,0.691095,0.737374,0.685446,0.710462,0.578947,0.675439,0.623482,0.576065,0.553270,0.450239
3,2,17,29,A,0.700478,0.710280,0.591440,0.645435,0.475177,0.744444,0.580087,0.786981,0.823161,0.680274
3,3,18,28,A,0.679166,0.825279,0.647230,0.725490,0.518919,0.644295,0.574850,0.577648,0.491740,0.375928
