system	doc	doc_id	seg_id	rater	source	target	category	severity
default	moedict_select	0	0		頭髮留那麼長還不剪，莫非是想把錢省下來買花生糖吃。	頭毛留甲遐爾長毋去鉸，敢是欲儉錢來買塗豆<v>麩</v>食？	Accuracy/Mistranslation	Major
default	moedict_select	1	0		每一個人都有一項才藝，空閒的時候姑且耍弄耍弄。	逐个人攏有一項<v>工夫</v>，無代誌就𨑨迌一下𨑨迌一下。	Terminology/Inappropriate	Minor
default	moedict_select	1	1		每一個人都有一項才藝，空閒的時候姑且耍弄耍弄。	逐个人攏有一項工夫，<v>無代誌</v>就𨑨迌一下𨑨迌一下。	Style/Awkward	Minor
default	moedict_select	1	2		每一個人都有一項才藝，空閒的時候姑且耍弄耍弄。	逐个人攏有一項工夫，無代誌就<v>𨑨迌一下𨑨迌一下</v>。	Accuracy/Mistranslation	Major
default	moedict_select	2	0		有空酒瓶或者用過的壞器具、紙張可以回收利用的東西要賣嗎？	有<v>通抾轉來的</v>酒矸仔抑是歹去的器具、紙張會使賣無？	Accuracy/Mistranslation	Major
default	moedict_select	2	1		有空酒瓶或者用過的壞器具、紙張可以回收利用的東西要賣嗎？	有通抾轉來的酒矸仔抑是歹去的器具、<v>紙張</v>會使賣無？	Accuracy/Omission	Major
default	moedict_select	2	2		有空酒瓶或者用過的壞器具、紙張可以回收利用的東西要賣嗎？	有通抾轉來的酒矸仔抑是歹去的器具、紙張<v>會使</v>賣無？	Style/Awkward	Minor
default	moedict_select	3	0		俗云斷掌的男人有福氣，會當官，但是斷掌的女人卻會剋夫，而獨守空閨。	俗語講：「<v>大跤查埔</v>好命，食甲老老老；細跤查某歹命，守到老老老。」	Accuracy/Mistranslation	Major
default	moedict_select	3	1		俗云斷掌的男人有福氣，會當官，但是斷掌的女人卻會剋夫，而獨守空閨。	俗語講：「大跤查埔<v>好命，食甲老老老</v>；細跤查某歹命，守到老老老。」	Accuracy/Mistranslation	Major
default	moedict_select	3	2		俗云斷掌的男人有福氣，會當官，但是斷掌的女人卻會剋夫，而獨守空閨。	俗語講：「大跤查埔好命，食甲老老老；<v>細跤查某</v>歹命，守到老老老。」	Accuracy/Mistranslation	Major
default	moedict_select	3	3		俗云斷掌的男人有福氣，會當官，但是斷掌的女人卻會剋夫，而獨守空閨。	俗語講：「大跤查埔好命，食甲老老老；細跤查某<v>歹命，守到老老老</v>。」	Accuracy/Mistranslation	Major
default	moedict_select	4	0		天花板與屋頂之間的空間可以儲藏一些東西。	天篷佮厝頂之間<v>有夠額</v>的空間通囥一寡物件。	Accuracy/Addition	Minor
default	moedict_select	4	1		天花板與屋頂之間的空間可以儲藏一些東西。	天篷佮厝頂之間有夠額的空間通囥<v>一寡</v>物件。	Terminology/Inappropriate	Minor
default	moedict_select	5	0		他是一個好像樣樣懂卻沒有一項專精的傢伙。	伊是一个<v>若像啥物攏捌、</v>啥物都無通的柴頭人。	Style/Awkward	Minor
default	moedict_select	5	1		他是一個好像樣樣懂卻沒有一項專精的傢伙。	伊是一个若像啥物攏捌、<v>啥物都無通</v>的柴頭人。	Accuracy/Mistranslation	Major
default	moedict_select	5	2		他是一個好像樣樣懂卻沒有一項專精的傢伙。	伊是一个若像啥物攏捌、啥物都無通的<v>柴頭人</v>。	Accuracy/Mistranslation	Major
default	moedict_select	6	0		早晨出現紅霞，就會下雨；黃昏出現紅霞，烈日當空。	<v>早起時</v>看著紅霞，落雨矣；暗頭仔看著紅霞，火燒埔。	Style/Awkward	Minor
default	moedict_select	6	1		早晨出現紅霞，就會下雨；黃昏出現紅霞，烈日當空。	早起時看著紅霞，<v>落雨矣</v>；暗頭仔看著紅霞，火燒埔。	Accuracy/Mistranslation	Minor
default	moedict_select	6	2		早晨出現紅霞，就會下雨；黃昏出現紅霞，烈日當空。	早起時看著紅霞，落雨矣；<v>暗頭仔</v>看著紅霞，火燒埔。	Style/Awkward	Minor
default	moedict_select	6	3		早晨出現紅霞，就會下雨；黃昏出現紅霞，烈日當空。	早起時看著紅霞，落雨矣；暗頭仔看著紅霞，<v>火燒埔</v>。	Accuracy/Mistranslation	Major
default	moedict_select	7	0		小人總急著報仇，而君子則會從長計議，爭回一個公道。	<v>我這个</v>小人若欲報冤，你這个大爺就愛想較久咧，看有通還咱一个公道無？	Accuracy/Mistranslation	Major
default	moedict_select	7	1		小人總急著報仇，而君子則會從長計議，爭回一個公道。	我這个小人<v>若欲</v>報冤，你這个大爺就愛想較久咧，看有通還咱一个公道無？	Accuracy/Mistranslation	Major
default	moedict_select	7	2		小人總急著報仇，而君子則會從長計議，爭回一個公道。	我這个小人若欲報冤，<v>你這个大爺</v>就愛想較久咧，看有通還咱一个公道無？	Accuracy/Mistranslation	Major
default	moedict_select	7	3		小人總急著報仇，而君子則會從長計議，爭回一個公道。	我這个小人若欲報冤，你這个大爺就愛<v>想較久咧</v>，看有通還咱一个公道無？	Accuracy/Mistranslation	Minor
default	moedict_select	7	4		小人總急著報仇，而君子則會從長計議，爭回一個公道。	我這个小人若欲報冤，你這个大爺就愛想較久咧，<v>看有通</v>還咱一个公道無？	Accuracy/Addition	Minor
default	moedict_select	7	5		小人總急著報仇，而君子則會從長計議，爭回一個公道。	我這个小人若欲報冤，你這个大爺就愛想較久咧，看有通還<v>咱</v>一个公道無？	Accuracy/Addition	Major
default	moedict_select	8	0		農曆三月，以成擔方式挑著盛產的桃子、李子。	<v>舊曆</v>三月，用擔仔賣上時行的王梨、菝仔。	Terminology/Inappropriate	Minor
default	moedict_select	8	1		農曆三月，以成擔方式挑著盛產的桃子、李子。	舊曆三月，用擔仔<v>賣</v>上時行的王梨、菝仔。	Accuracy/Mistranslation	Major
default	moedict_select	8	2		農曆三月，以成擔方式挑著盛產的桃子、李子。	舊曆三月，用擔仔賣<v>上時行</v>的王梨、菝仔。	Accuracy/Mistranslation	Major
default	moedict_select	8	3		農曆三月，以成擔方式挑著盛產的桃子、李子。	舊曆三月，用擔仔賣上時行的<v>王梨</v>、菝仔。	Accuracy/Mistranslation	Major
default	moedict_select	8	4		農曆三月，以成擔方式挑著盛產的桃子、李子。	舊曆三月，用擔仔賣上時行的王梨、<v>菝仔</v>。	Accuracy/Mistranslation	Major
default	moedict_select	9	0		鳳尾草雖然粗陋無華又沒什麼經濟價值，不過要是在中暑的時候將它煎煮成汁，當做飲品來喝，倒是還頗具療效。	<v>鳳仔花</v>雖罔較䆀，毋過若中晝食袂落去，共伊煎湯啉一下，嘛是會好勢。	Accuracy/Mistranslation	Major
default	moedict_select	9	1		鳳尾草雖然粗陋無華又沒什麼經濟價值，不過要是在中暑的時候將它煎煮成汁，當做飲品來喝，倒是還頗具療效。	鳳仔花雖<v>罔較䆀</v>，毋過若中晝食袂落去，共伊煎湯啉一下，嘛是會好勢。	Accuracy/Omission	Major
default	moedict_select	9	2		鳳尾草雖然粗陋無華又沒什麼經濟價值，不過要是在中暑的時候將它煎煮成汁，當做飲品來喝，倒是還頗具療效。	鳳仔花雖罔較䆀，毋過若<v>中晝食袂落去</v>，共伊煎湯啉一下，嘛是會好勢。	Accuracy/Mistranslation	Major
default	moedict_select	9	3		鳳尾草雖然粗陋無華又沒什麼經濟價值，不過要是在中暑的時候將它煎煮成汁，當做飲品來喝，倒是還頗具療效。	鳳仔花雖罔較䆀，毋過若中晝食袂落去，共伊煎<v>湯</v>啉一下，嘛是會好勢。	Terminology/Inappropriate	Minor
