system	doc	doc_id	seg_id	rater	source	target	category	severity
default	moedict_select	0	0	rater1	頭髮留那麼長還不剪，莫非是想把錢省下來買花生糖吃。	頭毛留甲遐爾長毋去鉸，敢是欲儉錢來買<v>塗豆麩</v>食？	Accuracy/Mistranslation	Major
default	moedict_select	1	0	rater1	每一個人都有一項才藝，空閒的時候姑且耍弄耍弄。	逐个人攏有一項<v>工夫</v>，無代誌就𨑨迌一下𨑨迌一下。	Fluency/Register	Minor
default	moedict_select	1	1	rater1	每一個人都有一項才藝，空閒的時候姑且耍弄耍弄。	逐个人攏有一項工夫，<v>無代誌</v>就𨑨迌一下𨑨迌一下。	Fluency/Register	Minor
default	moedict_select	1	2	rater1	每一個人都有一項才藝，空閒的時候姑且耍弄耍弄。	逐个人攏有一項工夫，無代誌就<v>𨑨迌一下𨑨迌一下</v>。	Accuracy/Omission	Minor
default	moedict_select	2	0	rater1	有空酒瓶或者用過的壞器具、紙張可以回收利用的東西要賣嗎？	有通抾轉來的酒矸仔抑是歹去的器具、紙張會使賣無？	Non-translated	Critical
default	moedict_select	3	0	rater1	俗云斷掌的男人有福氣，會當官，但是斷掌的女人卻會剋夫，而獨守空閨。	俗語講：「大跤查埔好命，食甲老老老；細跤查某歹命，守到老老老。」	Non-translated	Critical
default	moedict_select	4	0	rater1	天花板與屋頂之間的空間可以儲藏一些東西。	天篷佮厝頂之間<v>有夠額</v>的空間通囥一寡物件。	Accuracy/Addition	Minor
default	moedict_select	5	0	rater1	他是一個好像樣樣懂卻沒有一項專精的傢伙。	伊是一个若像啥物攏捌、啥物都<v>無通</v>的柴頭人。	Accuracy/Mistranslation	Major
default	moedict_select	5	1	rater1	他是一個好像樣樣懂卻沒有一項專精的傢伙。	伊是一个若像啥物攏捌、啥物都無通的<v>柴頭人</v>。	Accuracy/Mistranslation	Major
default	moedict_select	6	0	rater1	早晨出現紅霞，就會下雨；黃昏出現紅霞，烈日當空。	早起時<v>看著</v>紅霞，落雨矣；暗頭仔看著紅霞，火燒埔。	Accuracy/Addition	Minor
default	moedict_select	6	1	rater1	早晨出現紅霞，就會下雨；黃昏出現紅霞，烈日當空。	早起時看著紅霞，<v>落雨矣</v>；暗頭仔看著紅霞，火燒埔。	Fluency/Grammar	Major
default	moedict_select	6	2	rater1	早晨出現紅霞，就會下雨；黃昏出現紅霞，烈日當空。	早起時看著紅霞，落雨矣；暗頭仔看著紅霞，<v>火燒埔</v>。	Fluency/Register	Minor
default	moedict_select	7	0	rater1	小人總急著報仇，而君子則會從長計議，爭回一個公道。	我這个小人若欲報冤，你這个大爺就愛想較久咧，看有通還咱一个公道無？	Non-translated	Critical
default	moedict_select	8	0	rater1	農曆三月，以成擔方式挑著盛產的桃子、李子。	舊曆三月，用擔仔賣上時行的王梨、菝仔。	Non-translated	Critical
default	moedict_select	9	0	rater1	鳳尾草雖然粗陋無華又沒什麼經濟價值，不過要是在中暑的時候將它煎煮成汁，當做飲品來喝，倒是還頗具療效。	鳳仔花雖罔較䆀，毋過若中晝食袂落去，共伊煎湯啉一下，嘛是會好勢。	Non-translated	Critical
default	moedict_select	10	0	rater1	再怎麼說也無法改變他的想法，實在非常愚鈍又頑固。	<v>閣</v>按怎講嘛無法度共伊的想法變予伊好，實在真戇呆閣硬拗。	Fluency/Grammar	Minor
default	moedict_select	10	1	rater1	再怎麼說也無法改變他的想法，實在非常愚鈍又頑固。	閣按怎講嘛無法度<v>共</v>伊的想法變予伊好，實在真戇呆閣硬拗。	Accuracy/Addition	Minor
default	moedict_select	10	2	rater1	再怎麼說也無法改變他的想法，實在非常愚鈍又頑固。	閣按怎講嘛無法度共伊的想法<v>變予伊好</v>，實在真戇呆閣硬拗。	Accuracy/Addition	Minor
default	moedict_select	10	3	rater1	再怎麼說也無法改變他的想法，實在非常愚鈍又頑固。	閣按怎講嘛無法度共伊的想法變予伊好，實在真戇呆閣<v>硬拗</v>。	Accuracy/Mistranslation	Major
default	moedict_select	11	0	rater1	人家俗話說「輸給某人無所謂，別排在最後，在最後一名就太難看了」，我們就得要努力點。	人講「<v>食緊挵破碗</v>」，咱著愛較拍拚咧。	Accuracy/Mistranslation	Major
default	moedict_select	12	0	rater1	犯罪的人，要隨時有認罪並接受法律制裁的準備。	犯法的人，愛<v>隨</v>有認毋著閣來受法律的制裁的準備。	Fluency/Register	Minor
default	moedict_select	12	1	rater1	犯罪的人，要隨時有認罪並接受法律制裁的準備。	犯法的人，愛隨有<v>認毋著</v>閣來受法律的制裁的準備。	Fluency/Register	Minor
default	moedict_select	12	2	rater1	犯罪的人，要隨時有認罪並接受法律制裁的準備。	犯法的人，愛隨有認毋著<v>閣來</v>受法律的制裁的準備。	Accuracy/Mistranslation	Major
