system	doc	doc_id	seg_id	rater	source	target	category	severity
default	moedict_select	1001	0	rater2	年老時也得存些錢財，如果不幸生病了，才有辦法去看病。	老來嘛愛<v>積</v>一寡仔錢，若無，破病無通看醫生。	Accuracy/Mistranslation	Minor
default	moedict_select	1004	0	rater2	這棵玉蘭已經結花蕾了，不用多久花就會一朵朵接續著開。	這欉玉蘭仔已經<v>開花矣</v>，無偌久花就會一蕊一蕊接紲開。	Terminology/Inappropriate	Major
default	moedict_select	1019	0	rater2	阿菊很服輸，他老公欠錢跑路，他自己拼命賺錢替他老公還債。	阿菊仔足<v>𠢕輸</v>，𪜶翁欠數走代先，伊家己拍拚趁錢來鬥還𪜶翁的數。	Fluency/Inconsistency	Major
default	moedict_select	1019	1	rater2	阿菊很服輸，他老公欠錢跑路，他自己拼命賺錢替他老公還債。	阿菊仔足𠢕輸，𪜶翁欠數<v>走代先</v>，伊家己拍拚趁錢來鬥還𪜶翁的數。	Accuracy/Mistranslation	Major
default	moedict_select	1019	2	rater2	阿菊很服輸，他老公欠錢跑路，他自己拼命賺錢替他老公還債。	阿菊仔足𠢕輸，𪜶翁欠數走代先，伊家己拍拚趁錢來<v>鬥還𪜶翁的數</v>。	Fluency/Register	Major
default	moedict_select	1020	0	rater2	老師跟我說：「你還年輕，日子還很長，該為前途打算一下。」	<v>先生講</v>：「你猶少年，日子嘛真長，著愛替將來想看覓咧。」	Accuracy/Omission	Minor
default	moedict_select	1020	1	rater2	老師跟我說：「你還年輕，日子還很長，該為前途打算一下。」	先生講：「你猶少年，日子<v>嘛</v>真長，著愛替將來想看覓咧。」	Fluency/Grammar	Minor
default	moedict_select	1020	2	rater2	老師跟我說：「你還年輕，日子還很長，該為前途打算一下。」	先生講：「你猶少年，日子嘛真長，著愛替將來<v>想看覓</v>咧。」	Accuracy/Mistranslation	Minor
default	moedict_select	1032	0	rater2	各位親朋好友、前輩們，我「喝第一杯酒，講第一句話」較為越權，今天是主人七十歲生日，我們大家祝他平安順遂活到一百二十歲。	各位親情朋友、<v>前輩</v>，我「喝頭一杯，講頭一句話」較無禮數，今仔日是主人七十歲生日，咱逐家來共伊祝福身體健康食百二。	Purity/	Minor
default	moedict_select	1032	1	rater2	各位親朋好友、前輩們，我「喝第一杯酒，講第一句話」較為越權，今天是主人七十歲生日，我們大家祝他平安順遂活到一百二十歲。	各位親情朋友、前輩，我「<v>喝頭一杯，講頭一句話</v>」較無禮數，今仔日是主人七十歲生日，咱逐家來共伊祝福身體健康食百二。	Terminology/Inappropriate	Major
